device,backend,precision,model_id,speaker,audio_id,duration_sec,load_sec,infer_sec,latency_sec,rtf,pred_text,ref_text,error,success,pred_norm,ref_norm,WER,CER
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan01,5.4,1.2609956348314881,0.870090770535171,2.131086405366659,0.1611279204694761,اموز ها بخیدی خوبا آمی خان پیل درع بیکانا,امروز هوا خیلی خوبه و من می‌خوام پیاده‌روی کنم.,,True,اموز ها بخیدی خوبا آمی خان پیل درع بیکانا,امروز هوا خیلی خوبه و من می خوام پیاده روی کنم,1.0,0.45652173913043476
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan02,6.0,1.2609956348314881,0.8253411538898945,2.0863367887213826,0.13755685898164907,مدرام یهش مدده کفتار بماتن فارس رو تسم کرا,من دارم یک مدل گفتار به متن فارسی رو تست می‌کنم.,,True,مدرام یهش مدده کفتار بماتن فارس رو تسم کرا,من دارم یک مدل گفتار به متن فارسی رو تست می کنم,0.9166666666666666,0.3829787234042553
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan03,4.728,1.2609956348314881,0.8933012979105115,2.1542969327419996,0.1889385147864872,دو تفانیم جامنرو تاری گوگه دون اشتال برایبیس,لطفاً این جمله را دقیق و بدون اشتباه بنویس.,,True,دو تفانیم جامنرو تاری گوگه دون اشتال برایبیس,لطفاً این جمله را دقیق و بدون اشتباه بنویس,1.0,0.6428571428571429
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan04,4.008,1.2609956348314881,0.9127356903627515,2.1737313251942396,0.22772846565936913,راستی که یه خصالیتی را فیگو شلیو رنادره,راستش دیگه حوصله‌ی ترافیک و شلوغی رو ندارم.,,True,راستی که یه خصالیتی را فیگو شلیو رنادره,راستش دیگه حوصله ی ترافیک و شلوغی رو ندارم,1.0,0.5238095238095238
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan05,4.944,1.2609956348314881,1.1424400433897972,2.4034356782212853,0.23107606055618876,اران دیتا ایران نیمد رم چیمی خنبی یعان باری دمامی دا,الان دقیقاً نمی‌دونم چی می‌خوام بگم ولی ادامه می‌دم!,,True,اران دیتا ایران نیمد رم چیمی خنبی یعان باری دمامی دا,الان دقیقاً نمی دونم چی می خوام بگم ولی ادامه می دم,1.0,0.5490196078431373
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan06,7.152,1.2609956348314881,0.7937652114778757,2.054760846309364,0.11098506871894236,گفت بیو ساتھ هاشت به دیکھو ترامل دیر کارد,گفت بیا ساعت هشت، ولی خب طبق معمول دیر کرد.,,True,گفت بیو ساتھ هاشت به دیکھو ترامل دیر کارد,گفت بیا ساعت هشت، ولی خب طبق معمول دیر کرد,0.8,0.4523809523809524
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan07,5.4,1.2609956348314881,1.2277526063844562,2.4887482412159443,0.22736159377489928,چا رسیبت، ساتن نهو بی سبنج دری رسو بای وزارمشی,جلسه‌ی بعدی ساعت ۹ و ۴۵ دقیقه‌ی صبح برگزار می‌شه.,,True,چا رسیبت، ساتن نهو بی سبنج دری رسو بای وزارمشی,جلسه ی بعدی ساعت 9 و 45 دقیقه ی صبح برگزار می شه,1.0,0.6875
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan08,7.152,1.2609956348314881,1.3596894787624478,2.620685113593936,0.1901131821535861,من بین ساده ازرست نوگه هش تو ازارش هرست دور بیپورج ایوشی ویس لی کاری کرده,من بین سال‌های ۱۳۹۸ تا ۱۴۰۲ روی پروژه‌های هوش مصنوعی کار کردم.,,True,من بین ساده ازرست نوگه هش تو ازارش هرست دور بیپورج ایوشی ویس لی کاری کرده,من بین سال های 1398 تا 1402 روی پروژه های هوش مصنوعی کار کردم,1.0,0.6885245901639344
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan09,4.848,1.2609956348314881,0.8085566321387887,2.069552266970277,0.16678148352697786,ایمتین دعب تب هدر بیستا هفبالی انتوانه,قیمت این لپ‌تاپ حدود بیست و هفت میلیون تومنه.,,True,ایمتین دعب تب هدر بیستا هفبالی انتوانه,قیمت این لپ تاپ حدود بیست و هفت میلیون تومنه,1.0,0.4772727272727273
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan10,6.216,1.2609956348314881,0.8348955688998103,2.0958912037312984,0.13431395896071593,شیرش لن کشی شوشی روز خلی شابی هم شلومشان,شیر، شیلنگ، شیشه و شیراز خیلی شبیه هم شروع می‌شن.,,True,شیرش لن کشی شوشی روز خلی شابی هم شلومشان,شیر، شیلنگ، شیشه و شیراز خیلی شبیه هم شروع می شن,0.9090909090909091,0.4375
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan11,3.96,1.2609956348314881,0.7238365327939391,1.9848321676254272,0.1827870032307927,سالی در اخد کنر از ساک کشک از درود,ساقه‌ی درخت کنار سکو شکسته بود.,,True,سالی در اخد کنر از ساک کشک از درود,ساقه ی درخت کنار سکو شکسته بود,1.2857142857142858,0.5666666666666667
cpu,transformers_whisper,fp32,openai/whisper-tiny,Ardalan,Ardalan12,4.008,1.2609956348314881,0.6632424145936966,1.9242380494251847,0.16547964435970475,سرسا بادی سیل سور خسانگین شو,سرِ سبد سیب سرخ سنگین شد.,,True,سرسا بادی سیل سور خسانگین شو,سرِ سبد سیب سرخ سنگین شد,1.0,0.4583333333333333
